,,Missing,Overall
n,,,15484
"body_surface_area, mean (SD)",,0,1.8 (0.2)
"lactate_dehydrogenase, mean (SD)",,9370,229.6 (105.3)
"red_blood_cell, mean (SD)",,7515,3.7 (0.6)
"alkaline_phosphatase, mean (SD)",,9326,150.5 (144.0)
"days_since_prev_ED_visit, mean (SD)",,0,1079.5 (819.1)
"weight, mean (SD)",,0,70.7 (17.0)
"glucose, mean (SD)",,9383,7.3 (3.0)
"hematocrit, mean (SD)",,7515,0.3 (0.0)
"neutrophil, mean (SD)",,7515,3.4 (2.4)
"red_cell_distribution_width, mean (SD)",,8168,16.9 (3.0)
"lymphocyte, mean (SD)",,7518,1.3 (0.7)
"mean_corpuscular_volume, mean (SD)",,7515,91.1 (7.6)
"aspartate_aminotransferase, mean (SD)",,9297,29.9 (23.6)
"alanine_aminotransferase, mean (SD)",,9325,34.9 (35.1)
"white_blood_cell, mean (SD)",,7515,5.4 (2.8)
"platelet, mean (SD)",,7519,227.3 (123.7)
"mean_corpuscular_hemoglobin, mean (SD)",,7515,30.2 (2.9)
"target_ED_visit, n (%)",False,,14136 (91.3)
"target_ED_visit, n (%)",True,,1348 (8.7)
"regimen, n (%)",GI-ECF,,245 (1.6)
"regimen, n (%)",GI-ECX,,413 (2.7)
"regimen, n (%)",GI-FOLFIRI,,488 (3.2)
"regimen, n (%)",GI-FOLFIRI+BEVACIZUMAB,,2990 (19.3)
"regimen, n (%)",GI-FOLFIRINOX,,1758 (11.4)
"regimen, n (%)",GI-FOLFOX+BEVACIZUMAB,,201 (1.3)
"regimen, n (%)",GI-FOLFOX-6 MOD,,1687 (10.9)
"regimen, n (%)",GI-GEM 40MG/M2 2X/WK,,408 (2.6)
"regimen, n (%)","GI-GEM D1,8,15",,1745 (11.3)
"regimen, n (%)",GI-GEM+ABRAXANE,,1090 (7.0)
"regimen, n (%)",GI-GEMCISP (BILIARY),,1169 (7.5)
"regimen, n (%)",GI-MITOFU,,676 (4.4)
"regimen, n (%)",GI-PACLI/CARBO WEEKX5,,298 (1.9)
"regimen, n (%)",GI-PANITUMUMAB,,418 (2.7)
"regimen, n (%)",GI-RAMUC(CCO)+PACL(W),,165 (1.1)
"regimen, n (%)",GI-RAMUCIRUMAB+PACLI,,228 (1.5)
"regimen, n (%)",Other,,1505 (9.7)
"intent, n (%)",ADJUVANT,,2141 (13.8)
"intent, n (%)",CURATIVE,,825 (5.3)
"intent, n (%)",NEOADJUVANT,,1020 (6.6)
"intent, n (%)",PALLIATIVE,,11498 (74.3)
"disease_site, n (%)",C15,,729 (4.7)
"disease_site, n (%)",C16,,1530 (9.9)
"disease_site, n (%)",C17,,190 (1.2)
"disease_site, n (%)",C18,,2923 (18.9)
"disease_site, n (%)",C19,,364 (2.4)
"disease_site, n (%)",C20,,2014 (13.0)
"disease_site, n (%)",C21,,778 (5.0)
"disease_site, n (%)",C22,,658 (4.2)
"disease_site, n (%)",C23,,254 (1.6)
"disease_site, n (%)",C24,,1102 (7.1)
"disease_site, n (%)",C25,,4779 (30.9)
"disease_site, n (%)",Other,,163 (1.1)
"gender, n (%)",Female,,7076 (45.7)
"gender, n (%)",Male,,8408 (54.3)
"bicarbonate, n (%)",10.0,,1 (0.0)
"bicarbonate, n (%)",15.0,,2 (0.0)
"bicarbonate, n (%)",16.0,,3 (0.0)
"bicarbonate, n (%)",17.0,,4 (0.0)
"bicarbonate, n (%)",18.0,,7 (0.0)
"bicarbonate, n (%)",19.0,,16 (0.1)
"bicarbonate, n (%)",20.0,,66 (0.4)
"bicarbonate, n (%)",21.0,,125 (0.8)
"bicarbonate, n (%)",22.0,,183 (1.2)
"bicarbonate, n (%)",23.0,,306 (2.0)
"bicarbonate, n (%)",24.0,,466 (3.0)
"bicarbonate, n (%)",25.0,,554 (3.6)
"bicarbonate, n (%)",26.0,,594 (3.8)
"bicarbonate, n (%)",27.0,,496 (3.2)
"bicarbonate, n (%)",28.0,,327 (2.1)
"bicarbonate, n (%)",29.0,,179 (1.2)
"bicarbonate, n (%)",30.0,,84 (0.5)
"bicarbonate, n (%)",31.0,,41 (0.3)
"bicarbonate, n (%)",32.0,,14 (0.1)
"bicarbonate, n (%)",33.0,,5 (0.0)
"bicarbonate, n (%)",34.0,,4 (0.0)
"bicarbonate, n (%)",35.0,,1 (0.0)
"bicarbonate, n (%)",None,,12006 (77.5)
"height, n (%)",13,,1 (0.0)
"height, n (%)",131,,11 (0.1)
"height, n (%)",142,,5 (0.0)
"height, n (%)",143,,28 (0.2)
"height, n (%)",144,,17 (0.1)
"height, n (%)",145,,3 (0.0)
"height, n (%)",146,,11 (0.1)
"height, n (%)",147,,76 (0.5)
"height, n (%)",148,,54 (0.3)
"height, n (%)",149,,101 (0.7)
"height, n (%)",150,,133 (0.9)
"height, n (%)",151,,129 (0.8)
"height, n (%)",152,,227 (1.5)
"height, n (%)",153,,240 (1.5)
"height, n (%)",154,,226 (1.5)
"height, n (%)",155,,323 (2.1)
"height, n (%)",156,,465 (3.0)
"height, n (%)",157,,431 (2.8)
"height, n (%)",158,,594 (3.8)
"height, n (%)",159,,475 (3.1)
"height, n (%)",160,,663 (4.3)
"height, n (%)",161,,447 (2.9)
"height, n (%)",162,,372 (2.4)
"height, n (%)",163,,502 (3.2)
"height, n (%)",164,,378 (2.4)
"height, n (%)",165,,614 (4.0)
"height, n (%)",166,,516 (3.3)
"height, n (%)",167,,300 (1.9)
"height, n (%)",168,,639 (4.1)
"height, n (%)",169,,539 (3.5)
"height, n (%)",170,,721 (4.7)
"height, n (%)",171,,461 (3.0)
"height, n (%)",172,,430 (2.8)
"height, n (%)",173,,782 (5.1)
"height, n (%)",174,,509 (3.3)
"height, n (%)",175,,571 (3.7)
"height, n (%)",176,,527 (3.4)
"height, n (%)",177,,352 (2.3)
"height, n (%)",178,,386 (2.5)
"height, n (%)",179,,295 (1.9)
"height, n (%)",180,,406 (2.6)
"height, n (%)",181,,263 (1.7)
"height, n (%)",182,,247 (1.6)
"height, n (%)",183,,270 (1.7)
"height, n (%)",184,,190 (1.2)
"height, n (%)",185,,151 (1.0)
"height, n (%)",186,,60 (0.4)
"height, n (%)",187,,43 (0.3)
"height, n (%)",188,,41 (0.3)
"height, n (%)",189,,76 (0.5)
"height, n (%)",190,,8 (0.1)
"height, n (%)",191,,21 (0.1)
"height, n (%)",192,,14 (0.1)
"height, n (%)",193,,5 (0.0)
"height, n (%)",194,,19 (0.1)
"height, n (%)",195,,4 (0.0)
"height, n (%)",196,,62 (0.4)
"height, n (%)",197,,3 (0.0)
"height, n (%)",198,,16 (0.1)
"height, n (%)",199,,5 (0.0)
"height, n (%)",200,,26 (0.2)
"age, n (%)",22,,3 (0.0)
"age, n (%)",23,,29 (0.2)
"age, n (%)",24,,10 (0.1)
"age, n (%)",25,,15 (0.1)
"age, n (%)",26,,14 (0.1)
"age, n (%)",27,,2 (0.0)
"age, n (%)",28,,15 (0.1)
"age, n (%)",29,,12 (0.1)
"age, n (%)",30,,20 (0.1)
"age, n (%)",31,,4 (0.0)
"age, n (%)",32,,25 (0.2)
"age, n (%)",33,,17 (0.1)
"age, n (%)",34,,17 (0.1)
"age, n (%)",35,,51 (0.3)
"age, n (%)",36,,61 (0.4)
"age, n (%)",37,,58 (0.4)
"age, n (%)",38,,114 (0.7)
"age, n (%)",39,,150 (1.0)
"age, n (%)",40,,70 (0.5)
"age, n (%)",41,,81 (0.5)
"age, n (%)",42,,103 (0.7)
"age, n (%)",43,,159 (1.0)
"age, n (%)",44,,113 (0.7)
"age, n (%)",45,,176 (1.1)
"age, n (%)",46,,160 (1.0)
"age, n (%)",47,,226 (1.5)
"age, n (%)",48,,247 (1.6)
"age, n (%)",49,,225 (1.5)
"age, n (%)",50,,242 (1.6)
