,,Missing,Overall
n,,,4000
"glucose, mean (SD)",,2400,7.3 (2.8)
"mrn, mean (SD)",,0,1364249.4 (813757.3)
"neutrophil, mean (SD)",,1938,3.4 (2.4)
"lactate_dehydrogenase, mean (SD)",,2406,234.0 (105.0)
"hemoglobin, mean (SD)",,1938,111.1 (16.1)
"mean_platelet_volume, mean (SD)",,1938,8.1 (0.9)
"lymphocyte, mean (SD)",,1938,1.3 (0.8)
"total_bilirubin, mean (SD)",,2392,11.4 (10.3)
"mean_corpuscular_hemoglobin, mean (SD)",,1938,30.5 (2.9)
"creatinine, mean (SD)",,2289,75.7 (19.6)
"red_blood_cell, mean (SD)",,1938,3.7 (0.6)
"body_surface_area, mean (SD)",,0,1.8 (0.2)
"platelet, mean (SD)",,1938,224.4 (122.4)
"alanine_aminotransferase, mean (SD)",,2394,37.9 (37.3)
"mean_corpuscular_hemoglobin_concentration, mean (SD)",,1938,331.6 (9.6)
"weight, mean (SD)",,0,72.4 (16.3)
"red_cell_distribution_width, mean (SD)",,2129,16.9 (3.1)
"aspartate_aminotransferase, mean (SD)",,2383,31.1 (25.4)
"magnesium, mean (SD)",,2350,0.8 (0.1)
"monocyte, mean (SD)",,1959,0.6 (0.3)
"alkaline_phosphatase, mean (SD)",,2392,152.9 (134.3)
"hematocrit, mean (SD)",,1938,0.3 (0.0)
"white_blood_cell, mean (SD)",,1938,5.4 (2.9)
"mean_corpuscular_volume, mean (SD)",,1938,91.9 (7.8)
"eosinophil, mean (SD)",,2644,0.1 (0.1)
"phosphate, mean (SD)",,2400,1.1 (0.2)
"Targ, n (%)",False,,3771 (94.3)
"Targ, n (%)",True,,229 (5.7)
"disease_site, n (%)",C15,,199 (5.0)
"disease_site, n (%)",C16,,411 (10.3)
"disease_site, n (%)",C18,,799 (20.0)
"disease_site, n (%)",C19,,85 (2.1)
"disease_site, n (%)",C20,,404 (10.1)
"disease_site, n (%)",C21,,316 (7.9)
"disease_site, n (%)",C22,,163 (4.1)
