,,Missing,Overall
n,,,15484
"lactate_dehydrogenase, mean (SD)",,0,-0.0 (1.0)
"neutrophil, mean (SD)",,0,-0.0 (1.0)
"alkaline_phosphatase, mean (SD)",,0,-0.0 (1.0)
"body_surface_area, mean (SD)",,0,1.8 (0.2)
"weight, mean (SD)",,0,70.7 (17.0)
"platelet, mean (SD)",,0,-0.0 (1.0)
"days_since_prev_ED_visit, mean (SD)",,0,1079.5 (819.1)
"mean_corpuscular_volume, mean (SD)",,0,0.0 (1.0)
"mrn, mean (SD)",,0,3385481.2 (1415956.8)
"intent, n (%)",ADJUVANT,,2141 (13.8)
"intent, n (%)",CURATIVE,,825 (5.3)
"intent, n (%)",NEOADJUVANT,,1020 (6.6)
"intent, n (%)",PALLIATIVE,,11498 (74.3)
"disease_site, n (%)",C15,,729 (4.7)
"disease_site, n (%)",C16,,1530 (9.9)
"disease_site, n (%)",C17,,190 (1.2)
"disease_site, n (%)",C18,,2923 (18.9)
"disease_site, n (%)",C19,,364 (2.4)
"disease_site, n (%)",C20,,2014 (13.0)
"disease_site, n (%)",C21,,778 (5.0)
"disease_site, n (%)",C22,,658 (4.2)
"disease_site, n (%)",C23,,254 (1.6)
"disease_site, n (%)",C24,,1102 (7.1)
"disease_site, n (%)",C25,,4779 (30.9)
"disease_site, n (%)",Other,,163 (1.1)
"gender, n (%)",Female,,7076 (45.7)
"gender, n (%)",Male,,8408 (54.3)
"target_ED_visit, n (%)",False,,14136 (91.3)
"target_ED_visit, n (%)",True,,1348 (8.7)
"regimen, n (%)",GI-ECF,,245 (1.6)
"regimen, n (%)",GI-ECX,,413 (2.7)
"regimen, n (%)",GI-FOLFIRI,,488 (3.2)
"regimen, n (%)",GI-FOLFIRI+BEVACIZUMAB,,2990 (19.3)
"regimen, n (%)",GI-FOLFIRINOX,,1758 (11.4)
"regimen, n (%)",GI-FOLFOX+BEVACIZUMAB,,201 (1.3)
"regimen, n (%)",GI-FOLFOX-6 MOD,,1687 (10.9)
"regimen, n (%)",GI-GEM 40MG/M2 2X/WK,,408 (2.6)
"regimen, n (%)","GI-GEM D1,8,15",,1745 (11.3)
"regimen, n (%)",GI-GEM+ABRAXANE,,1090 (7.0)
"regimen, n (%)",GI-GEMCISP (BILIARY),,1169 (7.5)
"regimen, n (%)",GI-MITOFU,,676 (4.4)
"regimen, n (%)",GI-PACLI/CARBO WEEKX5,,298 (1.9)
"regimen, n (%)",GI-PANITUMUMAB,,418 (2.7)
"regimen, n (%)",GI-RAMUC(CCO)+PACL(W),,165 (1.1)
"regimen, n (%)",GI-RAMUCIRUMAB+PACLI,,228 (1.5)
"regimen, n (%)",Other,,1505 (9.7)
"esas_shortness_of_breath, n (%)",-0.561917713,,9963 (64.3)
"esas_shortness_of_breath, n (%)",0.002003077,,1844 (11.9)
"esas_shortness_of_breath, n (%)",0.565923866,,1288 (8.3)
"esas_shortness_of_breath, n (%)",1.129844656,,836 (5.4)
"esas_shortness_of_breath, n (%)",1.693765445,,459 (3.0)
"esas_shortness_of_breath, n (%)",2.257686235,,461 (3.0)
"esas_shortness_of_breath, n (%)",2.821607024,,285 (1.8)
"esas_shortness_of_breath, n (%)",3.385527814,,194 (1.3)
"esas_shortness_of_breath, n (%)",3.949448603,,111 (0.7)
"esas_shortness_of_breath, n (%)",4.513369393,,26 (0.2)
"esas_shortness_of_breath, n (%)",5.077290182,,17 (0.1)
"red_cell_distribution_width, n (%)",-0.038238283,,115 (0.7)
"red_cell_distribution_width, n (%)",-0.086567588,,92 (0.6)
"red_cell_distribution_width, n (%)",-0.134896892,,114 (0.7)
"red_cell_distribution_width, n (%)",-0.183226197,,90 (0.6)
"red_cell_distribution_width, n (%)",-0.231555501,,109 (0.7)
"red_cell_distribution_width, n (%)",-0.279884805,,117 (0.8)
"red_cell_distribution_width, n (%)",-0.32821411,,106 (0.7)
"red_cell_distribution_width, n (%)",-0.376543414,,96 (0.6)
"red_cell_distribution_width, n (%)",-0.424872719,,134 (0.9)
"red_cell_distribution_width, n (%)",-0.473202023,,113 (0.7)
"red_cell_distribution_width, n (%)",-0.521531328,,122 (0.8)
"red_cell_distribution_width, n (%)",-0.569860632,,92 (0.6)
"red_cell_distribution_width, n (%)",-0.618189937,,124 (0.8)
"red_cell_distribution_width, n (%)",-0.666519241,,108 (0.7)
"red_cell_distribution_width, n (%)",-0.714848546,,102 (0.7)
"red_cell_distribution_width, n (%)",-0.76317785,,107 (0.7)
"red_cell_distribution_width, n (%)",-0.811507155,,100 (0.6)
"red_cell_distribution_width, n (%)",-0.859836459,,121 (0.8)
"red_cell_distribution_width, n (%)",-0.908165764,,106 (0.7)
"red_cell_distribution_width, n (%)",-0.956495068,,110 (0.7)
"red_cell_distribution_width, n (%)",-1.004824373,,100 (0.6)
"red_cell_distribution_width, n (%)",-1.053153677,,105 (0.7)
"red_cell_distribution_width, n (%)",-1.101482981,,112 (0.7)
"red_cell_distribution_width, n (%)",-1.149812286,,84 (0.5)
"red_cell_distribution_width, n (%)",-1.19814159,,102 (0.7)
