,,Missing,Overall
n,,,1999
"mean_platelet_volume_change, mean (SD)",,1096,-0.0 (0.6)
"red_cell_distribution_width_change, mean (SD)",,1159,0.3 (1.9)
"phosphate, mean (SD)",,1195,1.1 (0.2)
"glucose, mean (SD)",,1198,7.1 (2.5)
"platelet, mean (SD)",,945,226.8 (119.8)
"mean_corpuscular_hemoglobin, mean (SD)",,945,30.8 (3.1)
"total_bilirubin_change, mean (SD)",,1448,-0.3 (4.8)
"albumin, mean (SD)",,1267,36.1 (4.4)
"lactate_dehydrogenase_change, mean (SD)",,1456,1.6 (73.8)
"magnesium, mean (SD)",,1174,0.8 (0.1)
"total_bilirubin, mean (SD)",,1194,10.6 (9.9)
"chloride, mean (SD)",,1153,104.3 (3.9)
"mean_platelet_volume, mean (SD)",,945,8.0 (1.0)
"mrn, mean (SD)",,0,658151.4 (297603.7)
"cycle_number, mean (SD)",,0,6.7 (8.2)
"mean_corpuscular_hemoglobin_concentration, mean (SD)",,945,332.2 (10.2)
"monocyte_change, mean (SD)",,1110,-0.0 (0.4)
"albumin_change, mean (SD)",,1525,-0.4 (2.2)
"mean_corpuscular_hemoglobin_change, mean (SD)",,1096,0.0 (1.1)
"potassium_change, mean (SD)",,1397,-0.0 (0.4)
"hemoglobin_change, mean (SD)",,1096,-1.5 (7.9)
"hemoglobin, mean (SD)",,945,109.7 (16.3)
"sodium_change, mean (SD)",,1394,-0.0 (2.5)
"hematocrit_change, mean (SD)",,1096,-0.0 (0.0)
"phosphate_change, mean (SD)",,1448,-0.0 (0.2)
"days_since_last_treatment, mean (SD)",,0,331.0 (1161.7)
"platelet_change, mean (SD)",,1096,-4.5 (128.7)
"magnesium_change, mean (SD)",,1415,-0.0 (0.1)
"alanine_aminotransferase_change, mean (SD)",,1446,-0.1 (29.1)
"creatinine_change, mean (SD)",,1369,-0.4 (10.7)
"mean_corpuscular_volume_change, mean (SD)",,1096,0.2 (2.7)
"lactate_dehydrogenase, mean (SD)",,1201,237.2 (86.2)
"lymphocyte, mean (SD)",,945,1.3 (1.0)
"aspartate_aminotransferase_change, mean (SD)",,1446,0.3 (26.6)
"eosinophil_change, mean (SD)",,1564,-0.0 (0.1)
"lymphocyte_change, mean (SD)",,1096,-0.0 (0.5)
"white_blood_cell_change, mean (SD)",,1096,-0.2 (2.7)
"potassium, mean (SD)",,1154,4.2 (0.4)
"chloride_change, mean (SD)",,1395,0.1 (2.6)
"weight, mean (SD)",,0,70.6 (15.7)
"red_blood_cell, mean (SD)",,945,3.6 (0.6)
"alkaline_phosphatase, mean (SD)",,1193,144.0 (122.7)
"monocyte, mean (SD)",,953,0.6 (0.3)
"bicarbonate, mean (SD)",,1565,25.4 (2.5)
"eosinophil, mean (SD)",,1324,0.1 (0.1)
"creatinine, mean (SD)",,1138,79.2 (21.7)
"hematocrit, mean (SD)",,945,0.3 (0.0)
"glucose_change, mean (SD)",,1451,-0.0 (2.4)
"red_cell_distribution_width, mean (SD)",,1019,17.2 (3.4)
"body_surface_area, mean (SD)",,0,1.8 (0.2)
"neutrophil_change, mean (SD)",,1096,-0.2 (2.3)
"red_blood_cell_change, mean (SD)",,1096,-0.1 (0.3)
"days_since_prev_ED_visit, mean (SD)",,0,1200.0 (790.0)
"sodium, mean (SD)",,1153,137.6 (3.2)
"aspartate_aminotransferase, mean (SD)",,1192,30.4 (24.1)
"white_blood_cell, mean (SD)",,945,5.5 (2.8)
"neutrophil, mean (SD)",,945,3.5 (2.3)
"days_since_starting_treatment, mean (SD)",,0,178.7 (303.7)
"mean_corpuscular_hemoglobin_concentration_change, mean (SD)",,1096,-0.1 (8.2)
"alkaline_phosphatase_change, mean (SD)",,1446,3.2 (55.4)
"mean_corpuscular_volume, mean (SD)",,945,92.6 (8.2)
"alanine_aminotransferase, mean (SD)",,1193,35.4 (34.5)
"glucose_is_missing, n (%)",False,,801 (40.1)
"glucose_is_missing, n (%)",True,,1198 (59.9)
"target_ED_visit, n (%)",False,,1806 (90.3)
"target_ED_visit, n (%)",True,,193 (9.7)
"esas_appetite_is_missing, n (%)",False,,1479 (74.0)
"esas_appetite_is_missing, n (%)",True,,520 (26.0)
"total_bilirubin_is_missing, n (%)",False,,805 (40.3)
"total_bilirubin_is_missing, n (%)",True,,1194 (59.7)
"hemoglobin_change_is_missing, n (%)",False,,903 (45.2)
"hemoglobin_change_is_missing, n (%)",True,,1096 (54.8)
"cancer_site_C07, n (%)",False,,1999 (100.0)
"regimen, n (%)",GI-CISPCAPE+TRAS(MAIN),,44 (2.2)
"regimen, n (%)",GI-ECF,,37 (1.9)
"regimen, n (%)",GI-ECX,,56 (2.8)
"regimen, n (%)",GI-FOLFIRI,,20 (1.0)
"regimen, n (%)",GI-FOLFIRI+BEVACIZUMAB,,405 (20.3)
"regimen, n (%)",GI-FOLFIRI+PANITUMUMAB,,21 (1.1)
"regimen, n (%)",GI-FOLFIRINOX,,195 (9.8)
"regimen, n (%)",GI-FOLFOX (GASTRIC),,30 (1.5)
"regimen, n (%)",GI-FOLFOX+BEVACIZUMAB,,21 (1.1)
"regimen, n (%)",GI-FOLFOX-6 MOD,,155 (7.8)
"regimen, n (%)",GI-GEM 40MG/M2 2X/WK,,35 (1.8)
"regimen, n (%)","GI-GEM D1,8",,55 (2.8)
"regimen, n (%)","GI-GEM D1,8,15",,307 (15.4)
"regimen, n (%)",GI-GEM+ABRAXANE,,101 (5.1)
"regimen, n (%)",GI-GEMCAP,,21 (1.1)
"regimen, n (%)",GI-GEMCISP (BILIARY),,93 (4.7)
"regimen, n (%)",GI-MITOFU,,155 (7.8)
"regimen, n (%)",GI-PACLI/CARBO WEEKX5,,57 (2.9)
"regimen, n (%)",GI-PANITUMUMAB,,39 (2.0)
"regimen, n (%)",GI-RAMUCIRUMAB+PACLI,,41 (2.1)
"regimen, n (%)",Other,,111 (5.6)
"esas_tiredness_is_missing, n (%)",False,,1482 (74.1)
"esas_tiredness_is_missing, n (%)",True,,517 (25.9)
"cancer_site_C19, n (%)",False,,1967 (98.4)
"cancer_site_C19, n (%)",True,,32 (1.6)
"mean_corpuscular_hemoglobin_concentration_change_is_missing, n (%)",False,,903 (45.2)
"mean_corpuscular_hemoglobin_concentration_change_is_missing, n (%)",True,,1096 (54.8)
"alanine_aminotransferase_change_is_missing, n (%)",False,,553 (27.7)
"alanine_aminotransferase_change_is_missing, n (%)",True,,1446 (72.3)
"esas_anxiety_is_missing, n (%)",False,,1482 (74.1)
"esas_anxiety_is_missing, n (%)",True,,517 (25.9)
"cancer_site_C37, n (%)",False,,1999 (100.0)
"sodium_is_missing, n (%)",False,,846 (42.3)
"sodium_is_missing, n (%)",True,,1153 (57.7)
"white_blood_cell_is_missing, n (%)",False,,1054 (52.7)
"white_blood_cell_is_missing, n (%)",True,,945 (47.3)
"cancer_site_C09, n (%)",False,,1986 (99.3)
"cancer_site_C09, n (%)",True,,13 (0.7)
"sodium_change_is_missing, n (%)",False,,605 (30.3)
"sodium_change_is_missing, n (%)",True,,1394 (69.7)
"cancer_site_C05, n (%)",False,,1999 (100.0)
"cancer_site_C06, n (%)",False,,1999 (100.0)
"cancer_site_C20, n (%)",False,,1740 (87.0)
"cancer_site_C20, n (%)",True,,259 (13.0)
"esas_shortness_of_breath_is_missing, n (%)",False,,1486 (74.3)
"esas_shortness_of_breath_is_missing, n (%)",True,,513 (25.7)
"cancer_site_C15, n (%)",False,,1868 (93.4)
"cancer_site_C15, n (%)",True,,131 (6.6)
"esas_nausea_change_is_missing, n (%)",False,,1284 (64.2)
"esas_nausea_change_is_missing, n (%)",True,,715 (35.8)
"cancer_site_C32, n (%)",False,,1999 (100.0)
"cancer_site_C01, n (%)",False,,1999 (100.0)
"bicarbonate_is_missing, n (%)",False,,434 (21.7)
"bicarbonate_is_missing, n (%)",True,,1565 (78.3)
