,,Missing,Overall
n,,,2552
"age at dx, mean (SD)",,0,62.0 (11.7)
"time, mean (SD)",,0,4.8 (2.8)
"Dose, mean (SD)",,0,66.9 (5.6)
"T Stage, n (%)",Other,,3 (0.1)
"T Stage, n (%)",T1,,361 (14.1)
"T Stage, n (%)",T1a,,147 (5.8)
"T Stage, n (%)",T1b,,68 (2.7)
"T Stage, n (%)",T2,,747 (29.3)
"T Stage, n (%)",T3,,704 (27.6)
"T Stage, n (%)",T4,,96 (3.8)
"T Stage, n (%)",T4a,,295 (11.6)
"T Stage, n (%)",T4b,,95 (3.7)
"T Stage, n (%)",Tis,,36 (1.4)
"Disease Site, n (%)",Other,,26 (1.0)
"Disease Site, n (%)",hypopharynx,,143 (5.6)
"Disease Site, n (%)",larynx,,727 (28.5)
"Disease Site, n (%)",lip & oral cavity,,82 (3.2)
"Disease Site, n (%)",nasal cavity,,51 (2.0)
"Disease Site, n (%)",nasopharynx,,321 (12.6)
"Disease Site, n (%)",oropharynx,,1176 (46.1)
"Disease Site, n (%)",paranasal sinus,,26 (1.0)
"N Stage, n (%)",N0,,914 (35.8)
"N Stage, n (%)",N1,,260 (10.2)
"N Stage, n (%)",N2,,161 (6.3)
"N Stage, n (%)",N2a,,75 (2.9)
"N Stage, n (%)",N2b,,585 (22.9)
"N Stage, n (%)",N2c,,409 (16.0)
"N Stage, n (%)",N3,,106 (4.2)
"N Stage, n (%)",N3b,,27 (1.1)
"N Stage, n (%)",Other,,15 (0.6)
"Sex, n (%)",Female,,513 (20.1)
"Sex, n (%)",Male,,2039 (79.9)
"Stage, n (%)",0,,37 (1.4)
"Stage, n (%)",I,,289 (11.3)
"Stage, n (%)",II,,323 (12.7)
"Stage, n (%)",III,,474 (18.6)
"Stage, n (%)",IVA,,1187 (46.5)
"Stage, n (%)",IVB,,228 (8.9)
"Stage, n (%)",Other,,11 (0.4)
"Stage, n (%)",Unknown,,3 (0.1)
"event, n (%)",0,,1674 (65.6)
"event, n (%)",1,,878 (34.4)
"Chemotherapy, n (%)",0,,1466 (57.4)
"Chemotherapy, n (%)",1,,1086 (42.6)
"EGFRI, n (%)",0,,2452 (96.1)
"EGFRI, n (%)",1,,100 (3.9)
"HPV Combined, n (%)",0.0,,437 (17.1)
"HPV Combined, n (%)",1.0,,840 (32.9)
"HPV Combined, n (%)",Unknown,,1275 (50.0)
