,,Missing,Overall
n,,,380
"SurfDist, mean (SD)",,0,1.3 (1.9)
"95HD, mean (SD)",,0,6.2 (21.9)
"FNPL, mean (SD)",,0,675.6 (861.7)
"VolDice, mean (SD)",,0,0.8 (0.1)
"FNV, mean (SD)",,0,793.0 (1199.9)
"APL, mean (SD)",,0,1995.0 (1895.1)
"JaccardIndex, mean (SD)",,0,0.7 (0.2)
"MAR, mean (SD)",,0,3.7 (0.7)
"OAR, n (%)",Acoustic_L,,20 (5.3)
"OAR, n (%)",Acoustic_R,,20 (5.3)
"OAR, n (%)",BrachialPlex_L,,20 (5.3)
"OAR, n (%)",BrachialPlex_R,,20 (5.3)
"OAR, n (%)",Brainstem,,20 (5.3)
"OAR, n (%)",Esophagus,,20 (5.3)
"OAR, n (%)",Eye_L,,20 (5.3)
"OAR, n (%)",Eye_R,,20 (5.3)
"OAR, n (%)",Larynx,,20 (5.3)
"OAR, n (%)",Lens_L,,20 (5.3)
"OAR, n (%)",Lens_R,,20 (5.3)
"OAR, n (%)",Lips,,20 (5.3)
"OAR, n (%)",Mandible_Bone,,20 (5.3)
"OAR, n (%)",Nrv_Optic_L,,20 (5.3)
"OAR, n (%)",Nrv_Optic_R,,20 (5.3)
"OAR, n (%)",OpticChiasm,,20 (5.3)
"OAR, n (%)",Parotid_L,,20 (5.3)
"OAR, n (%)",Parotid_R,,20 (5.3)
"OAR, n (%)",SpinalCord,,20 (5.3)
"patient, n (%)",Other,,12 (3.2)
"patient, n (%)",RADCURE-0025,,10 (2.6)
"patient, n (%)",RADCURE-0031,,6 (1.6)
"patient, n (%)",RADCURE-0053,,4 (1.1)
"patient, n (%)",RADCURE-0161,,10 (2.6)
"patient, n (%)",RADCURE-0210,,4 (1.1)
"patient, n (%)",RADCURE-0223,,10 (2.6)
"patient, n (%)",RADCURE-0246,,4 (1.1)
"patient, n (%)",RADCURE-0407,,8 (2.1)
"patient, n (%)",RADCURE-0550,,12 (3.2)
"patient, n (%)",RADCURE-0553,,8 (2.1)
"patient, n (%)",RADCURE-0744,,6 (1.6)
"patient, n (%)",RADCURE-0783,,8 (2.1)
"patient, n (%)",RADCURE-0787,,18 (4.7)
"patient, n (%)",RADCURE-0851,,6 (1.6)
"patient, n (%)",RADCURE-0983,,10 (2.6)
"patient, n (%)",RADCURE-1035,,10 (2.6)
"patient, n (%)",RADCURE-1061,,8 (2.1)
"patient, n (%)",RADCURE-1187,,4 (1.1)
"patient, n (%)",RADCURE-1939,,8 (2.1)
"patient, n (%)",RADCURE-2141,,4 (1.1)
"patient, n (%)",RADCURE-2299,,4 (1.1)
"patient, n (%)",RADCURE-2304,,10 (2.6)
"patient, n (%)",RADCURE-2421,,6 (1.6)
"patient, n (%)",RADCURE-2460,,4 (1.1)
"patient, n (%)",RADCURE-2576,,8 (2.1)
"patient, n (%)",RADCURE-2722,,6 (1.6)
"patient, n (%)",RADCURE-2908,,4 (1.1)
"patient, n (%)",RADCURE-2910,,6 (1.6)
"patient, n (%)",RADCURE-2939,,4 (1.1)
"patient, n (%)",RADCURE-2981,,14 (3.7)
"patient, n (%)",RADCURE-3096,,4 (1.1)
"patient, n (%)",RADCURE-3109,,6 (1.6)
"patient, n (%)",RADCURE-3123,,8 (2.1)
"patient, n (%)",RADCURE-3263,,8 (2.1)
"patient, n (%)",RADCURE-3330,,8 (2.1)
"patient, n (%)",RADCURE-3385,,8 (2.1)
"patient, n (%)",RADCURE-3403,,6 (1.6)
"patient, n (%)",RADCURE-3410,,10 (2.6)
"patient, n (%)",RADCURE-3506,,8 (2.1)
"patient, n (%)",RADCURE-3556,,6 (1.6)
"patient, n (%)",RADCURE-3571,,4 (1.1)
"patient, n (%)",RADCURE-3588,,4 (1.1)
"patient, n (%)",RADCURE-3622,,4 (1.1)
"patient, n (%)",RADCURE-3625,,8 (2.1)
"patient, n (%)",RADCURE-3653,,6 (1.6)
"patient, n (%)",RADCURE-3658,,10 (2.6)
"patient, n (%)",RADCURE-3663,,8 (2.1)
"patient, n (%)",RADCURE-3714,,4 (1.1)
"patient, n (%)",RADCURE-3739,,8 (2.1)
"patient, n (%)",RADCURE-3753,,6 (1.6)
"patient, n (%)",RADCURE-3812,,4 (1.1)
"patient, n (%)",RADCURE-3876,,6 (1.6)
"Targ, n (%)",False,,156 (41.1)
"Targ, n (%)",True,,224 (58.9)
