,,Missing,Overall
n,,,380
"FNPL, mean (SD)",,0,675.6 (861.7)
"MAR, mean (SD)",,0,3.7 (0.7)
"95HD, mean (SD)",,0,6.2 (21.9)
"JaccardIndex, mean (SD)",,0,0.7 (0.2)
"VolDice, mean (SD)",,0,0.8 (0.1)
"FNV, mean (SD)",,0,793.0 (1199.9)
"APL, mean (SD)",,0,1995.0 (1895.1)
"SurfDist, mean (SD)",,0,1.3 (1.9)
"OAR, n (%)",Acoustic_L,,20 (5.3)
"OAR, n (%)",Acoustic_R,,20 (5.3)
"OAR, n (%)",BrachialPlex_L,,20 (5.3)
"OAR, n (%)",BrachialPlex_R,,20 (5.3)
"OAR, n (%)",Brainstem,,20 (5.3)
"OAR, n (%)",Esophagus,,20 (5.3)
"OAR, n (%)",Eye_L,,20 (5.3)
"OAR, n (%)",Eye_R,,20 (5.3)
"OAR, n (%)",Larynx,,20 (5.3)
"OAR, n (%)",Lens_L,,20 (5.3)
"OAR, n (%)",Lens_R,,20 (5.3)
"OAR, n (%)",Lips,,20 (5.3)
"OAR, n (%)",Mandible_Bone,,20 (5.3)
"OAR, n (%)",Nrv_Optic_L,,20 (5.3)
"OAR, n (%)",Nrv_Optic_R,,20 (5.3)
"OAR, n (%)",OpticChiasm,,20 (5.3)
"OAR, n (%)",Parotid_L,,20 (5.3)
"OAR, n (%)",Parotid_R,,20 (5.3)
"OAR, n (%)",SpinalCord,,20 (5.3)
"Targ, n (%)",False,,156 (41.1)
"Targ, n (%)",True,,224 (58.9)
